Symbol,Exchange,Company,Brokerage,Shares,Avg Cost,Total Cost,Cur. Price,Mkt Value,Sector,Notes,Date In
AAPL,NASDAQ,Apple Inc.,Fidelity,100,148.5,14850,187.42,18742,Technology,Core long-term hold,2021-03-15
BRK.B,NYSE,Berkshire Hathaway B,Fidelity,40,308,12320,382.1,15284,Financials,Value anchor,2018-04-05
JNJ,NYSE,Johnson & Johnson,Fidelity,45,158.2,7119,147.3,6628.5,Healthcare,Dividend compounder,2017-07-19
JPM,NYSE,JPMorgan Chase & Co.,TD Ameritrade,75,138.6,10395,196.3,14722.5,Financials,,2019-08-22
MSFT,NASDAQ,Microsoft Corp.,Schwab,50,278.2,13910,414.8,20740,Technology,Cloud/AI exposure,2020-11-02
NOK,NYSE,Nokia,Parents,100,10.5,1050,,,Telecom,Gaetano writeup,2026-04-23
NVDA,NASDAQ,NVIDIA Corp.,Fidelity,30,412,12360,875.5,26265,Technology,AI infrastructure play,2022-06-10
QQQ,NASDAQ,Invesco QQQ Trust,Schwab,25,362,9050,447.6,11190,ETF,Tech growth exposure,2021-09-30
VTI,NYSE,Vanguard Total Mkt ETF,Schwab,60,218.4,13104,244.8,14688,ETF,Passive core,2020-01-14
XOM,NYSE,Exxon Mobil Corp.,TD Ameritrade,80,102.4,8192,118.7,9496,Energy,Dividend play,2022-02-28
CASH,—,Cash & Equivalents,Fidelity,,,12500,,12500,Cash,HYSA @ 4.8% APY,